,team1,team2,result,date
31,SPAL,Milan,N,2020-07-01
32,Fiorentina,Sassuolo,P,2020-07-01
29,Hellas Verona,Parma,V,2020-07-01
30,Lecce,Sampdoria,P,2020-07-01
41,Inter,Brescia,V,2020-07-01
39,Roma,Udinese,P,2020-07-02
37,Atalanta,Napoli,V,2020-07-02
31,Sassuolo,Lecce,V,2020-07-04
38,Lazio,Milan,P,2020-07-04
42,Juventus,Torino,V,2020-07-04
32,Parma,Fiorentina,P,2020-07-05
32,Cagliari,Atalanta,P,2020-07-05
30,Brescia,Hellas Verona,V,2020-07-05
31,Sampdoria,SPAL,V,2020-07-05
42,Inter,Bologna,P,2020-07-05
32,Udinese,Genoa,N,2020-07-05
41,Napoli,Roma,V,2020-07-05
34,Milan,Juventus,V,2020-07-07
32,Lecce,Lazio,V,2020-07-07
33,Genoa,Napoli,P,2020-07-08
32,Bologna,Sassuolo,P,2020-07-08
34,Fiorentina,Cagliari,N,2020-07-08
39,Atalanta,Sampdoria,V,2020-07-08
41,Roma,Parma,V,2020-07-08
38,Torino,Brescia,V,2020-07-08
33,SPAL,Udinese,P,2020-07-09
31,Hellas Verona,Inter,N,2020-07-09
40,Lazio,Sassuolo,P,2020-07-11
44,Juventus,Atalanta,N,2020-07-11
32,Brescia,Roma,P,2020-07-11
34,Genoa,SPAL,V,2020-07-12
34,Parma,Bologna,N,2020-07-12
34,Udinese,Sampdoria,P,2020-07-12
35,Fiorentina,Hellas Verona,N,2020-07-12
43,Napoli,Milan,N,2020-07-12
34,Cagliari,Lecce,N,2020-07-12
44,Inter,Torino,V,2020-07-13
41,Atalanta,Brescia,V,2020-07-14
34,Sassuolo,Juventus,N,2020-07-15
34,Bologna,Napoli,N,2020-07-15
34,Lecce,Fiorentina,P,2020-07-15
36,Milan,Parma,V,2020-07-15
35,Udinese,Lazio,N,2020-07-15
34,Sampdoria,Cagliari,V,2020-07-15
43,Roma,Hellas Verona,V,2020-07-15
35,SPAL,Inter,P,2020-07-16
40,Torino,Genoa,V,2020-07-16
37,Milan,Bologna,V,2020-07-18
36,Cagliari,Sassuolo,N,2020-07-18
34,Hellas Verona,Atalanta,N,2020-07-18
36,Parma,Sampdoria,P,2020-07-19
34,Brescia,SPAL,V,2020-07-19
37,Fiorentina,Torino,V,2020-07-19
36,Genoa,Lecce,V,2020-07-19
45,Napoli,Udinese,V,2020-07-19
44,Roma,Inter,N,2020-07-19
46,Juventus,Lazio,V,2020-07-20
43,Atalanta,Bologna,V,2020-07-21
36,Sassuolo,Milan,P,2020-07-21
36,Lecce,Brescia,V,2020-07-22
47,Inter,Fiorentina,N,2020-07-22
42,Torino,Hellas Verona,N,2020-07-22
36,Sampdoria,Genoa,P,2020-07-22
37,Parma,Napoli,V,2020-07-22
37,SPAL,Roma,P,2020-07-22
37,Udinese,Juventus,V,2020-07-23
43,Lazio,Cagliari,V,2020-07-23
39,Milan,Atalanta,N,2020-07-24
36,Brescia,Parma,P,2020-07-25
38,Genoa,Inter,P,2020-07-25
47,Napoli,Sassuolo,V,2020-07-25
38,Cagliari,Udinese,P,2020-07-26
38,SPAL,Torino,N,2020-07-26
37,Bologna,Lecce,V,2020-07-26
36,Hellas Verona,Lazio,P,2020-07-26
48,Juventus,Sampdoria,V,2020-07-26
46,Roma,Fiorentina,V,2020-07-26
39,Parma,Atalanta,P,2020-07-28
49,Inter,Napoli,V,2020-07-28
45,Lazio,Brescia,V,2020-07-29
37,Hellas Verona,SPAL,V,2020-07-29
39,Cagliari,Juventus,V,2020-07-29
40,Fiorentina,Bologna,V,2020-07-29
44,Torino,Roma,P,2020-07-29
39,Udinese,Lecce,P,2020-07-29
38,Sampdoria,Milan,P,2020-07-29
38,Sassuolo,Genoa,V,2020-07-29
41,Milan,Cagliari,V,2020-08-01
50,Juventus,Roma,P,2020-08-01
38,Brescia,Sampdoria,N,2020-08-01
46,Atalanta,Inter,P,2020-08-01
49,Napoli,Lazio,V,2020-08-01
39,Lecce,Parma,P,2020-08-02
40,SPAL,Fiorentina,P,2020-08-02
40,Genoa,Hellas Verona,V,2020-08-02
39,Bologna,Torino,N,2020-08-02
39,Sassuolo,Udinese,P,2020-08-02
