,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
148,24,P,0.3999999999999999,20,4.0,0.7999999999999998,0.4,0.4,4.600000000000001,-1.4000000000000004,0.0,0.0,1.0,0.0,1
149,3,V,-1.4,16,-5.000000000000002,-2.0,-0.2,-0.4,-6.0,0.8000000000000007,-0.2000000000000001,0.2,0.0,0.0,1
150,19,P,-0.3999999999999999,20,8.6,1.5999999999999996,0.0,0.0,19.4,-0.3999999999999986,0.0,0.2,2.0,0.0,1
151,11,P,-0.3999999999999999,24,-2.0,-1.8000000000000005,-0.2,-0.3999999999999999,11.4,2.200000000000001,0.8,0.4,0.0,1.0,0
152,14,V,0.6000000000000001,28,6.200000000000001,4.6000000000000005,0.2,0.2,13.0,-5.800000000000001,-0.3999999999999999,0.0,2.0,0.0,1
153,9,N,-1.0,13,-2.0,-2.0,-0.2,-0.2,5.399999999999999,-2.6000000000000014,-0.5999999999999996,0.0,0.0,1.0,2
154,12,N,0.0,27,-1.3999999999999986,-0.6000000000000001,-0.2,-0.2,1.8000000000000045,-2.3999999999999986,-0.6000000000000001,0.0,0.0,2.0,0
155,21,V,1.2000000000000002,22,-0.1999999999999993,1.6000000000000003,0.2,0.0,0.3999999999999986,-0.6000000000000014,-1.0,0.2,0.0,2.0,1
156,2,V,0.2000000000000001,0,-7.0,-1.2000000000000002,0.0,-0.2,-9.0,2.200000000000001,0.7999999999999998,-0.4,0.0,2.0,2
157,17,N,-0.8,25,1.0,1.8000000000000005,0.2,0.0,-1.0,1.799999999999999,0.4000000000000003,0.0,2.0,0.0,1
158,4,P,0.2000000000000001,15,-4.199999999999999,-1.0,-0.3999999999999999,-0.6000000000000001,-0.2000000000000028,3.6,-0.1999999999999997,0.4,0.0,2.0,0
159,24,P,-0.8,14,-5.200000000000001,-2.8000000000000003,0.2,0.3999999999999999,-11.800000000000004,3.8000000000000007,0.2000000000000001,-0.2,1.0,1.0,2
160,3,P,-0.8,25,-3.8000000000000007,0.5999999999999996,0.0,-0.2,-12.4,2.2,-0.2000000000000001,0.2,0.0,2.0,1
161,9,P,-1.0,21,-0.8000000000000007,-0.4000000000000003,-0.4,-0.4,-1.0,1.8000000000000007,0.7999999999999998,0.0,0.0,0.0,1
162,28,V,-2.2,4,-2.0,-2.8,-0.2,-0.2,-5.200000000000003,-0.2000000000000028,-0.5999999999999996,-0.2,2.0,0.0,1
163,13,V,1.0,11,5.399999999999999,4.0,-0.2,-0.2,-7.0,-0.6000000000000014,-0.8000000000000003,-0.4,2.0,0.0,1
164,27,P,1.4,22,0.1999999999999993,1.6,0.0,-0.4,2.3999999999999986,1.3999999999999986,-0.7999999999999998,0.2,1.0,0.0,1
165,20,N,0.5999999999999999,3,-2.8000000000000007,-1.6,0.0,0.0,-1.8000000000000045,-2.0,0.0,0.0,2.0,0.0,1
166,0,V,0.6000000000000001,17,1.400000000000002,0.2000000000000001,0.0,0.2,6.799999999999997,-1.599999999999998,-0.8000000000000003,0.2,0.0,1.0,0
167,25,P,0.5999999999999999,19,-9.4,-2.4,0.0,0.2,-5.400000000000006,0.200000000000001,1.2000000000000002,-0.2,0.0,1.0,0
168,16,P,-0.4000000000000001,2,4.4,0.5999999999999996,0.0,0.2,1.8000000000000045,1.1999999999999993,-0.4000000000000003,0.0,0.0,2.0,0
169,11,V,-0.7999999999999999,25,-2.0,-1.6,0.2,0.0,2.199999999999996,-0.3999999999999986,0.2000000000000001,0.4,0.0,1.0,0
170,3,P,-1.7999999999999998,15,-4.199999999999999,-0.1999999999999993,-0.6,-0.8,-12.800000000000004,3.400000000000002,0.0,0.0,0.0,2.0,2
171,22,P,-0.6000000000000001,12,2.200000000000001,-0.6000000000000001,0.0,0.1999999999999999,-1.0,0.7999999999999972,0.2000000000000001,-0.2,2.0,0.0,0
172,21,P,1.2000000000000002,27,3.0,0.7999999999999998,0.4,0.4,8.399999999999999,-4.000000000000002,-0.9999999999999998,-0.4,2.0,0.0,1
173,14,V,0.2000000000000001,4,6.0,2.8,0.0,0.0,11.0,-3.6,-1.1999999999999995,-0.3999999999999999,2.0,0.0,1
174,2,N,1.6,9,0.0,2.6,0.2,0.2,-4.399999999999999,1.3999999999999986,1.0,0.2,0.0,0.0,0
175,0,V,1.4,20,10.6,5.4,0.2,0.4,20.0,-0.7999999999999989,0.1999999999999997,0.0,2.0,0.0,1
176,16,P,0.3999999999999999,28,6.0,2.4000000000000004,0.2,0.2,11.4,3.599999999999998,1.5999999999999996,0.0,0.0,2.0,0
177,19,P,-0.8,13,9.4,0.4000000000000003,-0.2,-0.2,11.199999999999996,-1.6000000000000014,-0.1999999999999997,0.2,1.0,1.0,0
178,17,N,-0.3999999999999999,24,2.799999999999999,1.2000000000000002,-0.2,-0.3999999999999999,7.200000000000003,4.0,0.6000000000000001,-0.2,1.0,1.0,1
179,13,N,-1.4,0,-8.2,-2.3999999999999995,0.0,0.0,-11.6,3.0,0.9999999999999998,0.0,0.0,1.0,1
180,4,P,0.8,17,-5.000000000000002,-2.6,-0.2,-0.2,-6.600000000000001,0.1999999999999993,0.2000000000000001,0.2,0.0,1.0,2
182,27,V,-0.1999999999999999,2,-1.5999999999999996,-1.5999999999999996,0.0,0.0,-6.799999999999997,4.800000000000001,-1.0,0.2,0.0,1.0,1
