,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season
7,Parma,2019-10-20,Giornata n. 8,Casa,V,5.0,Genoa,22.0,7.0,0,0,265.0,350.0,3.0,37.0,10.0,1,0,19_20
7,Cagliari,2019-10-20,Giornata n. 8,Casa,V,2.0,SPAL,16.0,5.0,0,0,283.0,368.0,6.0,44.0,16.0,4,0,19_20
7,SPAL,2019-10-20,Giornata n. 8,Ospiti,P,0.0,Cagliari,12.0,5.0,0,0,386.0,465.0,6.0,56.0,15.0,5,0,19_20
7,Udinese,2019-10-20,Giornata n. 8,Casa,V,1.0,Torino,19.0,4.0,0,0,239.0,341.0,6.0,39.0,18.0,3,0,19_20
7,Fiorentina,2019-10-21,Giornata n. 8,Ospiti,N,0.0,Brescia,13.0,4.0,0,0,401.0,507.0,9.0,54.0,20.0,3,0,19_20
6,Brescia,2019-10-21,Giornata n. 8,Casa,N,0.0,Fiorentina,3.0,1.0,0,0,303.0,425.0,6.0,46.0,10.0,0,0,19_20
7,Sassuolo,2019-10-25,Giornata n. 9,Ospiti,V,1.0,Hellas Verona,16.0,4.0,0,0,287.0,383.0,6.0,43.0,13.0,5,0,19_20
8,Hellas Verona,2019-10-25,Giornata n. 9,Casa,P,0.0,Sassuolo,8.0,3.0,0,0,384.0,504.0,9.0,57.0,19.0,5,0,19_20
7,Brescia,2019-10-26,Giornata n. 9,Ospiti,P,1.0,Genoa,8.0,2.0,0,0,261.0,342.0,3.0,39.0,17.0,4,0,19_20
8,Lecce,2019-10-26,Giornata n. 9,Casa,N,1.0,Juventus,9.0,4.0,1,1,205.0,285.0,3.0,29.0,13.0,4,0,19_20
8,Inter,2019-10-26,Giornata n. 9,Casa,N,2.0,Parma,29.0,6.0,0,0,496.0,601.0,11.0,67.0,10.0,3,0,19_20
8,Parma,2019-10-26,Giornata n. 9,Ospiti,N,2.0,Inter,12.0,5.0,0,0,219.0,293.0,4.0,33.0,13.0,2,0,19_20
