,team1,date,matchday,stadium,result,goals,team2
29,Venezia,2022-03-06,Giornata n. 28,Casa,P,1,Sassuolo
31,Fiorentina,2022-03-06,Giornata n. 28,Casa,N,1,Hellas Verona
36,Napoli,2022-03-06,Giornata n. 28,Casa,P,0,Milan
30,Spezia,2022-03-12,Giornata n. 29,Casa,V,2,Cagliari
28,Salernitana,2022-03-12,Giornata n. 29,Casa,N,2,Sassuolo
31,Sampdoria,2022-03-12,Giornata n. 29,Casa,P,1,Juventus
37,Milan,2022-03-12,Giornata n. 29,Casa,V,1,Empoli
32,Fiorentina,2022-03-13,Giornata n. 29,Casa,V,1,Bologna
30,Hellas Verona,2022-03-13,Giornata n. 29,Casa,P,1,Napoli
29,Torino,2022-03-13,Giornata n. 29,Casa,N,1,Inter
38,Atalanta,2022-03-13,Giornata n. 29,Casa,N,0,Genoa
29,Udinese,2022-03-13,Giornata n. 29,Casa,N,1,Roma
38,Lazio,2022-03-14,Giornata n. 29,Casa,V,1,Venezia
32,Genoa,2022-03-18,Giornata n. 30,Casa,V,1,Torino
31,Sassuolo,2022-03-18,Giornata n. 30,Casa,V,4,Spezia
40,Inter,2022-03-19,Giornata n. 30,Casa,N,1,Fiorentina
38,Napoli,2022-03-19,Giornata n. 30,Casa,V,2,Udinese
32,Cagliari,2022-03-19,Giornata n. 30,Casa,P,0,Milan
29,Bologna,2022-03-20,Giornata n. 30,Casa,P,0,Atalanta
32,Empoli,2022-03-20,Giornata n. 30,Casa,N,1,Hellas Verona
31,Venezia,2022-03-20,Giornata n. 30,Casa,P,0,Sampdoria
41,Roma,2022-03-20,Giornata n. 30,Casa,V,3,Lazio
41,Juventus,2022-03-20,Giornata n. 30,Casa,V,2,Salernitana
32,Spezia,2022-04-02,Giornata n. 31,Casa,V,1,Venezia
40,Lazio,2022-04-02,Giornata n. 31,Casa,V,2,Sassuolo
30,Salernitana,2022-04-02,Giornata n. 31,Casa,P,0,Torino
33,Sampdoria,2022-04-03,Giornata n. 31,Casa,P,0,Roma
31,Udinese,2022-04-03,Giornata n. 31,Casa,V,5,Cagliari
41,Atalanta,2022-04-03,Giornata n. 31,Casa,P,1,Napoli
42,Juventus,2022-04-03,Giornata n. 31,Casa,P,0,Inter
34,Fiorentina,2022-04-03,Giornata n. 31,Casa,V,1,Empoli
39,Milan,2022-04-04,Giornata n. 31,Casa,N,0,Bologna
32,Hellas Verona,2022-04-04,Giornata n. 31,Casa,V,1,Genoa
34,Cagliari,2022-04-09,Giornata n. 32,Casa,P,1,Juventus
42,Inter,2022-04-09,Giornata n. 32,Casa,V,2,Hellas Verona
34,Empoli,2022-04-09,Giornata n. 32,Casa,N,0,Spezia
