,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
30,Benevento,2021-04-18,Giornata n. 31,Ospiti,P,3,Lazio,15,6,1,1,350.0,429.0,4.0,43.0,14,3,0
30,Juventus,2021-04-18,Giornata n. 31,Ospiti,P,0,Atalanta,12,1,0,0,518.0,607.0,8.0,56.0,16,2,0
30,Genoa,2021-04-18,Giornata n. 31,Ospiti,P,1,Milan,12,2,0,0,388.0,484.0,4.0,46.0,14,1,0
29,Lazio,2021-04-18,Giornata n. 31,Casa,V,5,Benevento,11,5,1,2,481.0,567.0,5.0,57.0,16,2,0
30,Atalanta,2021-04-18,Giornata n. 31,Casa,V,1,Juventus,13,2,0,0,422.0,486.0,3.0,44.0,24,3,0
30,Inter,2021-04-18,Giornata n. 31,Ospiti,N,1,Napoli,11,2,0,0,424.0,479.0,3.0,44.0,13,2,0
30,Roma,2021-04-18,Giornata n. 31,Ospiti,P,1,Torino,9,4,0,0,375.0,453.0,3.0,51.0,17,2,1
31,Hellas Verona,2021-04-20,Giornata n. 32,Casa,P,1,Fiorentina,9,4,0,0,504.0,612.0,5.0,65.0,17,2,0
31,Fiorentina,2021-04-20,Giornata n. 32,Ospiti,V,2,Hellas Verona,5,3,1,1,251.0,336.0,3.0,35.0,20,3,0
31,Parma,2021-04-21,Giornata n. 32,Ospiti,P,1,Juventus,9,1,0,0,331.0,403.0,6.0,36.0,24,2,0
31,Sampdoria,2021-04-21,Giornata n. 32,Ospiti,V,1,Crotone,14,5,0,0,546.0,657.0,6.0,60.0,7,1,0
