,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
7,Napoli,2021-10-17,Giornata n. 8,Casa,V,1,Torino,10.0,2.0,0,1,333.0,440.0,3.0,51.0,6.0,2,0
7,Juventus,2021-10-17,Giornata n. 8,Casa,V,1,Roma,7.0,3.0,0,0,426.0,505.0,0.0,47.0,20.0,3,0
7,Bologna,2021-10-17,Giornata n. 8,Ospiti,N,1,Udinese,24.0,11.0,0,0,460.0,526.0,8.0,59.0,11.0,7,0
7,Udinese,2021-10-17,Giornata n. 8,Casa,N,1,Bologna,10.0,2.0,0,0,295.0,370.0,2.0,41.0,16.0,3,1
7,Torino,2021-10-17,Giornata n. 8,Ospiti,P,0,Napoli,11.0,3.0,0,0,306.0,418.0,4.0,49.0,25.0,4,0
7,Roma,2021-10-17,Giornata n. 8,Ospiti,P,0,Juventus,14.0,3.0,0,1,470.0,561.0,6.0,53.0,15.0,5,0
7,Cagliari,2021-10-17,Giornata n. 8,Casa,V,3,Sampdoria,12.0,5.0,0,0,228.0,329.0,5.0,39.0,15.0,4,0
7,Genoa,2021-10-17,Giornata n. 8,Casa,N,2,Sassuolo,19.0,4.0,0,0,283.0,383.0,6.0,43.0,12.0,3,0
7,Sampdoria,2021-10-17,Giornata n. 8,Ospiti,P,1,Cagliari,17.0,3.0,0,0,391.0,507.0,9.0,61.0,18.0,2,0
7,Atalanta,2021-10-17,Giornata n. 8,Ospiti,V,4,Empoli,21.0,7.0,0,1,401.0,490.0,4.0,52.0,17.0,2,0
7,Sassuolo,2021-10-17,Giornata n. 8,Ospiti,N,2,Genoa,15.0,5.0,0,0,439.0,517.0,1.0,57.0,22.0,4,0
7,Empoli,2021-10-17,Giornata n. 8,Casa,P,1,Atalanta,13.0,4.0,0,0,355.0,459.0,5.0,48.0,11.0,3,0
7,Venezia,2021-10-18,Giornata n. 8,Casa,V,1,Fiorentina,4.0,2.0,0,0,294.0,396.0,2.0,39.0,16.0,2,0
7,Fiorentina,2021-10-18,Giornata n. 8,Ospiti,P,0,Venezia,11.0,3.0,0,0,535.0,627.0,5.0,61.0,11.0,5,1
8,Sampdoria,2021-10-22,Giornata n. 9,Casa,V,2,Spezia,6.0,2.0,0,0,195.0,302.0,0.0,30.0,10.0,3,0
