,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
139,Milan,2021-11-28,P,-2,Sassuolo,0.0,-3.0,0,0,-10.0,-6.0,1.0,0.0,7.0,2,1
140,Salernitana,2021-11-30,P,-2,Juventus,-13.0,-7.0,0,-1,-534.0,-529.0,0.0,-46.0,4.0,0,0
141,Fiorentina,2021-11-30,V,2,Sampdoria,6.0,3.0,0,0,222.0,201.0,-3.0,20.0,-11.0,-3,0
142,Atalanta,2021-11-30,V,4,Venezia,11.0,2.0,0,0,179.0,175.0,2.0,16.0,0.0,-1,0
143,Hellas Verona,2021-11-30,N,0,Cagliari,3.0,3.0,0,0,350.0,344.0,10.0,36.0,3.0,1,0
144,Sassuolo,2021-12-01,N,0,Napoli,0.0,3.0,0,0,28.0,6.0,1.0,0.0,-9.0,2,0
145,Genoa,2021-12-01,P,-3,Milan,-7.0,-2.0,0,0,-153.0,-162.0,-4.0,-16.0,-1.0,1,0
146,Bologna,2021-12-01,V,1,Roma,-7.0,-2.0,0,0,-153.0,-150.0,0.0,-16.0,-9.0,-1,0
147,Inter,2021-12-01,V,2,Spezia,23.0,6.0,1,1,284.0,286.0,10.0,26.0,5.0,-1,0
148,Lazio,2021-12-02,N,0,Udinese,0.0,0.0,0,0,218.0,233.0,1.0,24.0,-1.0,-2,-1
149,Torino,2021-12-02,N,0,Empoli,-7.0,-2.0,0,0,-113.0,-142.0,-10.0,-18.0,-9.0,-2,1
150,Napoli,2021-12-04,P,-1,Atalanta,-6.0,-3.0,0,0,90.0,102.0,-1.0,10.0,-2.0,-1,0
151,Roma,2021-12-04,P,-3,Inter,-1.0,-3.0,0,0,-379.0,-389.0,1.0,-32.0,5.0,2,0
152,Milan,2021-12-04,V,2,Salernitana,15.0,5.0,0,0,432.0,432.0,4.0,40.0,0.0,-1,0
153,Bologna,2021-12-05,P,-1,Fiorentina,3.0,1.0,-1,-1,-246.0,-256.0,-2.0,-26.0,-4.0,0,0
154,Juventus,2021-12-05,V,2,Genoa,27.0,12.0,0,0,452.0,445.0,3.0,40.0,7.0,2,0
155,Sampdoria,2021-12-05,P,-2,Lazio,12.0,0.0,0,0,-60.0,-40.0,7.0,-4.0,6.0,1,-1
156,Spezia,2021-12-05,N,0,Sassuolo,-11.0,-1.0,0,0,-302.0,-297.0,-3.0,-30.0,5.0,1,0
157,Venezia,2021-12-05,P,-1,Hellas Verona,-6.0,0.0,-1,-1,-95.0,-99.0,-5.0,-12.0,-3.0,0,1
158,Cagliari,2021-12-06,N,0,Torino,8.0,-1.0,0,0,3.0,32.0,3.0,4.0,-16.0,-2,0
159,Empoli,2021-12-06,V,2,Udinese,3.0,0.0,0,0,123.0,125.0,2.0,14.0,-5.0,1,0
160,Genoa,2021-12-10,P,-2,Sampdoria,-2.0,-3.0,0,0,76.0,70.0,5.0,8.0,-3.0,0,0
161,Fiorentina,2021-12-11,V,4,Salernitana,6.0,3.0,0,0,427.0,432.0,-2.0,40.0,-2.0,0,0
162,Venezia,2021-12-11,N,0,Juventus,-7.0,-2.0,0,0,-199.0,-207.0,-8.0,-20.0,7.0,2,0
163,Udinese,2021-12-11,N,0,Milan,-1.0,5.0,0,0,-313.0,-339.0,-2.0,-32.0,10.0,0,1
164,Torino,2021-12-12,V,1,Bologna,9.0,3.0,-1,-1,-31.0,-26.0,5.0,-2.0,-1.0,-2,0
165,Inter,2021-12-12,V,4,Cagliari,18.0,12.0,0,1,530.0,546.0,9.0,50.0,-6.0,-1,0
166,Sassuolo,2021-12-12,V,1,Lazio,11.0,4.0,0,0,201.0,205.0,6.0,18.0,-3.0,-1,1
167,Hellas Verona,2021-12-12,P,-1,Atalanta,5.0,-3.0,0,0,40.0,60.0,0.0,6.0,3.0,1,0
168,Napoli,2021-12-12,P,-1,Empoli,18.0,1.0,0,0,188.0,198.0,7.0,20.0,-6.0,-1,0
169,Roma,2021-12-13,V,2,Spezia,4.0,3.0,0,0,45.0,50.0,5.0,4.0,5.0,3,1
170,Salernitana,2021-12-17,P,-5,Inter,-13.0,-6.0,0,0,-316.0,-313.0,-7.0,-30.0,-1.0,-1,0
171,Lazio,2021-12-17,V,2,Genoa,7.0,3.0,0,0,117.0,122.0,3.0,10.0,-2.0,-3,0
172,Cagliari,2021-12-18,P,-4,Udinese,-5.0,-3.0,0,0,81.0,96.0,2.0,10.0,-3.0,2,1
173,Atalanta,2021-12-18,P,-3,Roma,9.0,1.0,0,0,384.0,410.0,10.0,42.0,-7.0,-2,0
174,Bologna,2021-12-18,P,-2,Juventus,0.0,-4.0,0,0,130.0,146.0,5.0,14.0,-10.0,0,0
175,Fiorentina,2021-12-19,N,0,Sassuolo,15.0,4.0,0,0,129.0,136.0,6.0,14.0,-11.0,-2,1
176,Milan,2021-12-19,P,-1,Napoli,1.0,0.0,0,0,-48.0,-34.0,0.0,-4.0,-5.0,-2,0
177,Torino,2021-12-19,V,1,Hellas Verona,0.0,-1.0,0,0,301.0,298.0,2.0,32.0,9.0,-1,-1
178,Spezia,2021-12-19,N,0,Empoli,-13.0,-5.0,0,0,-270.0,-292.0,-2.0,-32.0,12.0,1,0
179,Sampdoria,2021-12-19,N,0,Venezia,6.0,6.0,0,0,-15.0,-8.0,1.0,0.0,-10.0,1,0
180,Genoa,2021-12-21,N,0,Atalanta,-16.0,-3.0,0,0,-337.0,-364.0,-5.0,-34.0,0.0,1,0
181,Juventus,2021-12-21,V,2,Cagliari,9.0,3.0,0,0,253.0,254.0,6.0,26.0,0.0,-3,0
182,Venezia,2021-12-22,P,-2,Lazio,3.0,-2.0,0,0,-64.0,-62.0,0.0,-6.0,1.0,0,1
183,Roma,2021-12-22,N,0,Sampdoria,6.0,2.0,0,0,80.0,96.0,8.0,8.0,-4.0,-3,0
184,Empoli,2021-12-22,P,-2,Milan,-3.0,-4.0,1,1,91.0,104.0,3.0,12.0,2.0,-1,0
185,Hellas Verona,2021-12-22,N,0,Fiorentina,-4.0,1.0,0,0,-191.0,-190.0,-5.0,-20.0,11.0,1,0
186,Sassuolo,2021-12-22,P,-3,Bologna,4.0,0.0,0,0,178.0,176.0,0.0,18.0,1.0,-2,0
187,Inter,2021-12-22,V,1,Torino,3.0,0.0,0,0,71.0,72.0,3.0,8.0,-7.0,1,0
188,Napoli,2021-12-22,P,-1,Spezia,19.0,6.0,0,0,301.0,298.0,5.0,30.0,2.0,-1,0
