,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a
107,Roma,2021-10-31,P,-0.4999999999999998,Milan,2.400000000000002,0.09999999999999964,-0.1,-0.09999999999999998,0.5,-4.600000000000023,2.8000000000000007,-1.5,0.1999999999999993,1.5000000000000002,0.2,2.0,4.0
108,Fiorentina,2021-10-31,V,0.10000000000000009,Spezia,-1.5,-0.19999999999999973,0.4,0.4,102.40000000000003,88.0,-0.39999999999999947,6.5,1.5,1.3,0.09999999999999998,7.0,0.0
109,Bologna,2021-11-01,V,0.30000000000000004,Cagliari,3.700000000000001,1.4000000000000004,-0.1,0.0,73.80000000000001,66.70000000000005,1.6000000000000005,8.200000000000003,-2.5999999999999996,0.5,0.30000000000000004,2.0,3.0
110,Empoli,2021-11-05,N,0.0,Genoa,1.299999999999999,0.6999999999999997,0.0,0.0,-2.5,-11.899999999999977,0.5,-0.7999999999999972,-2.799999999999999,-0.6999999999999997,0.1,0.0,8.0
111,Cagliari,2021-11-06,P,-0.8,Atalanta,-6.800000000000001,-1.6999999999999997,-0.1,-0.19999999999999998,-145.2,-151.39999999999998,-3.4,-15.199999999999996,-0.8999999999999986,0.0,0.2,4.0,4.0
112,Spezia,2021-11-06,V,-0.3999999999999999,Torino,-1.3999999999999986,0.0,0.0,0.0,5.800000000000011,1.0,1.4,-2.1000000000000014,-7.800000000000001,-1.3,0.1,1.0,6.0
113,Juventus,2021-11-06,V,-0.19999999999999996,Fiorentina,1.1000000000000014,0.20000000000000018,-0.3,-0.3,-65.19999999999999,-61.700000000000045,-0.7000000000000002,-5.899999999999999,2.1999999999999993,-1.3000000000000003,-0.2,5.0,1.0
114,Sampdoria,2021-11-07,P,0.0,Bologna,-1.8000000000000007,-0.6999999999999997,0.0,-0.1,-76.0,-54.200000000000045,-0.20000000000000018,-3.3999999999999986,1.700000000000001,0.20000000000000018,-0.1,2.0,6.0
115,Milan,2021-11-07,N,0.0,Inter,-0.6999999999999993,-1.4000000000000004,0.09999999999999998,0.10000000000000003,2.2000000000000455,2.1000000000000227,-1.2999999999999998,1.8999999999999986,-0.29999999999999893,-0.20000000000000018,0.1,1.0,6.0
116,Udinese,2021-11-07,V,-0.19999999999999996,Sassuolo,-1.0,-0.5,-0.1,-0.1,-128.09999999999997,-129.39999999999998,-0.10000000000000053,-14.300000000000004,0.1999999999999993,-0.3999999999999999,0.1,4.0,1.0
117,Venezia,2021-11-07,V,-0.8,Roma,-9.799999999999999,-1.9,0.0,-0.1,-113.10000000000002,-103.60000000000002,-3.7,-11.299999999999997,0.40000000000000036,-0.2999999999999998,0.0,0.0,8.0
118,Napoli,2021-11-07,N,-0.10000000000000009,Hellas Verona,6.5,1.5000000000000004,0.0,0.2,159.10000000000002,136.39999999999998,1.6999999999999997,8.899999999999999,-5.299999999999999,-0.8,0.1,6.0,1.0
119,Lazio,2021-11-07,V,1.0999999999999999,Salernitana,-0.20000000000000107,1.7999999999999998,0.2,0.3,203.0,187.10000000000002,-1.0,10.399999999999999,-1.5,0.3999999999999999,0.1,8.0,0.0
120,Atalanta,2021-11-20,V,1.0,Spezia,3.1999999999999993,0.9999999999999996,0.2,0.3,96.60000000000002,92.69999999999993,1.2000000000000002,5.700000000000003,0.6999999999999993,0.7,-0.1,7.0,0.0
121,Fiorentina,2021-11-20,V,-0.8,Milan,-1.799999999999999,-0.5,0.3,0.2,49.400000000000034,45.900000000000034,1.8000000000000003,1.4000000000000057,0.09999999999999964,0.9000000000000004,0.19999999999999998,2.0,4.0
122,Lazio,2021-11-20,P,0.20000000000000018,Juventus,-1.5999999999999996,0.7000000000000002,0.0,0.0,95.70000000000005,98.0,-0.10000000000000053,4.700000000000003,-3.0,0.8000000000000003,0.2,2.0,5.0
