,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,prediction,rank
159,1.0,0.0,0.1999999999999999,11.0,0.5999999999999996,0.7999999999999998,-0.2,-0.4,-3.6000000000000014,1.5999999999999996,0.1999999999999997,-0.2,2.0,-4.0
160,13.0,0.0,0.3999999999999999,1.0,-0.7999999999999989,-0.9999999999999996,0.0,0.0,-11.6,1.4000000000000004,0.1999999999999997,0.0,0.0,-4.0
161,4.0,2.0,0.0,16.0,5.0,0.8000000000000007,0.0,0.2,-11.599999999999994,1.5999999999999996,-0.2000000000000001,-0.2,0.0,-3.0
162,11.0,2.0,-0.7999999999999999,5.0,-6.6,-4.0,0.2,0.4,2.3999999999999986,-8.400000000000002,-0.2000000000000001,0.2,1.0,2.0
163,9.0,1.0,-0.4000000000000001,14.0,-4.600000000000001,-1.2000000000000002,0.2,0.2,0.1999999999999957,1.0,1.2000000000000002,0.0,1.0,1.0
164,3.0,0.0,-0.5999999999999999,8.0,-6.199999999999999,-2.0,-0.2,-0.2,-17.800000000000004,2.2,1.0,0.0,2.0,-2.0
165,17.0,0.0,0.7999999999999999,18.0,2.6000000000000014,-1.4,0.0,0.0,9.6,-3.4000000000000004,1.4,0.2,1.0,-2.0
166,12.0,1.0,0.8,15.0,5.0,3.0,0.0,0.0,4.799999999999997,-4.600000000000001,-1.2,-0.2,1.0,4.0
167,10.0,1.0,0.0,2.0,7.600000000000001,1.1999999999999995,0.2,0.2,2.5999999999999943,0.0,-0.7999999999999998,-0.6,1.0,2.0
168,7.0,1.0,-1.0000000000000002,0.0,-3.799999999999999,-0.4000000000000003,0.4,0.4,-18.0,6.4,0.3999999999999999,0.2,2.0,-4.0
169,19.0,0.0,0.1999999999999999,6.0,-0.1999999999999993,-1.5999999999999996,0.0,0.2,2.199999999999996,-0.5999999999999996,-0.7999999999999998,0.0,1.0,4.0
170,1.0,2.0,-1.0,10.0,-11.0,-2.8000000000000003,-0.2,-0.2,-11.800000000000004,-2.2,0.2000000000000001,0.0,2.0,-2.0
171,6.0,0.0,-0.1999999999999999,11.0,-3.0,0.7999999999999998,0.0,0.0,-20.6,6.199999999999999,0.2000000000000001,-0.2,2.0,-4.0
172,14.0,1.0,0.0,17.0,-1.599999999999998,2.0,0.0,0.0,-10.200000000000005,-0.200000000000001,-1.6,-0.2,1.0,3.0
173,8.0,1.0,-0.2000000000000001,12.0,-0.8000000000000007,-0.7999999999999998,0.2,0.2,0.0,3.6,0.0,0.0,0.0,-2.0
174,16.0,1.0,2.0,3.0,1.0,3.6,0.0,0.0,20.0,-1.4000000000000004,-0.4000000000000003,0.0,1.0,-1.0
175,2.0,1.0,-0.8,7.0,-1.4000000000000004,-0.6000000000000001,-0.2,-0.2,14.0,-2.2,0.5999999999999996,0.1999999999999999,0.0,-2.0
176,5.0,2.0,0.5999999999999999,13.0,5.4,2.8000000000000003,0.0,0.0,8.200000000000003,6.800000000000001,0.7999999999999998,0.2,1.0,4.0
177,0.0,0.0,0.0,9.0,-1.799999999999999,-2.2,-0.2,0.0,6.0,-4.0,-0.3999999999999999,0.6,0.0,-2.0
178,15.0,0.0,0.0,19.0,7.399999999999999,2.4000000000000004,0.0,0.0,18.4,-1.200000000000001,1.4,0.2,0.0,-1.0
