,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
467,roma,2019-10-27,V,-0.3999999999999999,milan,3.0,0.0,-0.4,-0.2,4.399999999999999,3.0,0.6000000000000001,-0.4,2019-2020,3.0,2.0
468,bologna,2019-10-27,V,0.20000000000000007,sampdoria,-2.1999999999999993,0.0,0.2,0.4,6.399999999999999,1.1999999999999993,0.6000000000000001,0.2,2019-2020,3.0,3.0
469,parma,2019-10-29,P,1.6,hellas verona,1.200000000000001,0.40000000000000036,0.0,0.4,-11.0,0.0,-0.20000000000000018,0.0,2019-2020,2.0,2.0
470,brescia,2019-10-29,P,-1.4000000000000001,inter,-5.799999999999999,-1.9999999999999996,-0.6,-0.6,-15.399999999999999,-1.5999999999999996,-0.7999999999999998,-0.2,2019-2020,0.0,6.0
471,sassuolo,2019-10-30,P,0.20000000000000018,fiorentina,0.0,0.20000000000000018,-0.2,-0.4,3.8000000000000043,-0.40000000000000036,-0.3999999999999999,-0.2,2019-2020,2.0,2.0
472,napoli,2019-10-30,N,-2.8,atalanta,-1.3999999999999986,-4.2,-0.4,-0.4,7.400000000000006,-1.0,0.0,0.2,2019-2020,3.0,3.0
473,lazio,2019-10-30,V,1.2000000000000002,torino,2.0,1.6,0.2,0.6000000000000001,-1.0,-2.1999999999999993,0.6000000000000001,0.0,2019-2020,2.0,2.0
474,udinese,2019-10-30,P,-0.20000000000000007,roma,-3.0,-0.3999999999999999,0.0,-0.2,-13.799999999999997,-1.4000000000000021,0.20000000000000018,0.0,2019-2020,1.0,5.0
475,cagliari,2019-10-30,V,0.19999999999999996,bologna,-3.5999999999999996,-1.0,0.2,0.0,-11.200000000000003,-1.4000000000000004,-0.40000000000000036,-0.4,2019-2020,1.0,2.0
476,sampdoria,2019-10-30,N,-0.7999999999999999,lecce,3.799999999999999,-1.2000000000000002,-0.6,-0.8,6.200000000000003,2.8000000000000007,0.6000000000000001,0.2,2019-2020,6.0,0.0
477,juventus,2019-10-30,V,0.8,genoa,7.4,1.2000000000000002,0.2,0.0,11.399999999999999,-5.0,-1.5999999999999996,-0.4,2019-2020,3.0,2.0
478,milan,2019-10-31,V,0.7999999999999999,spal,1.5999999999999996,0.0,0.4,0.4,10.799999999999997,1.0,0.0,0.6000000000000001,2019-2020,6.0,0.0
479,torino,2019-11-02,P,-1.2000000000000002,juventus,-12.2,-4.6,-0.2,-0.2,-12.199999999999996,0.7999999999999989,-0.3999999999999999,0.2,2019-2020,0.0,4.0
480,roma,2019-11-02,V,0.20000000000000018,napoli,-3.200000000000001,-1.5999999999999996,0.2,0.4,-2.6000000000000014,3.1999999999999993,0.7999999999999998,0.4,2019-2020,2.0,3.0
481,bologna,2019-11-02,P,-1.0,inter,-3.8000000000000007,-0.40000000000000036,-0.39999999999999997,-0.39999999999999997,-4.400000000000006,1.3999999999999986,-0.3999999999999999,0.2,2019-2020,1.0,3.0
482,lecce,2019-11-03,N,-0.19999999999999996,sassuolo,-1.1999999999999993,-0.39999999999999947,0.2,0.4,-14.799999999999997,-1.200000000000001,0.0,0.2,2019-2020,0.0,6.0
483,milan,2019-11-03,P,-1.6,lazio,-0.1999999999999993,-1.2000000000000002,-0.39999999999999997,-0.8,4.600000000000001,0.40000000000000036,0.20000000000000018,0.39999999999999997,2019-2020,3.0,1.0
484,hellas verona,2019-11-03,V,0.0,brescia,-0.6000000000000014,0.3999999999999999,0.0,0.0,9.399999999999999,5.800000000000001,1.2000000000000002,0.0,2019-2020,2.0,0.0
485,genoa,2019-11-03,P,0.6,udinese,1.8000000000000007,2.1999999999999997,0.0,0.2,9.199999999999996,1.5999999999999996,0.19999999999999973,0.6000000000000001,2019-2020,0.0,4.0
486,atalanta,2019-11-03,P,2.1999999999999997,cagliari,8.600000000000001,5.6,0.2,0.2,9.0,-0.5999999999999996,-0.7999999999999998,0.0,2019-2020,2.0,4.0
487,fiorentina,2019-11-03,N,-0.6000000000000001,parma,-2.3999999999999986,0.1999999999999993,0.2,0.2,3.0,1.8000000000000007,1.7999999999999998,0.2,2019-2020,4.0,2.0
488,spal,2019-11-04,P,-0.19999999999999996,sampdoria,-5.799999999999999,0.19999999999999973,0.0,0.0,-3.3999999999999986,-0.1999999999999993,1.0,0.2,2019-2020,1.0,5.0
489,sassuolo,2019-11-08,V,0.0,bologna,0.5999999999999996,0.40000000000000036,-0.2,-0.2,4.399999999999999,-2.5999999999999996,0.7999999999999998,-0.2,2019-2020,0.0,4.0
490,napoli,2019-11-09,N,-0.19999999999999996,genoa,2.5999999999999996,0.20000000000000018,0.0,-0.2,1.2000000000000028,-2.599999999999998,-0.6000000000000001,-0.8,2019-2020,4.0,0.0
491,inter,2019-11-09,V,1.2000000000000002,hellas verona,4.0,1.2000000000000002,0.8,0.8,5.0,1.3999999999999986,0.0,0.0,2019-2020,6.0,0.0
492,brescia,2019-11-09,P,0.6000000000000001,torino,1.0,0.0,0.0,0.0,-3.1999999999999957,-4.000000000000002,0.20000000000000018,0.0,2019-2020,0.0,6.0
493,juventus,2019-11-10,V,0.20000000000000018,milan,8.2,3.2,0.2,0.2,5.200000000000003,0.1999999999999993,-0.7999999999999998,-0.2,2019-2020,5.0,1.0
494,cagliari,2019-11-10,V,0.8,fiorentina,-2.6000000000000014,-1.0000000000000004,0.2,0.2,-7.799999999999997,-2.200000000000001,0.20000000000000018,-0.2,2019-2020,2.0,3.0
495,udinese,2019-11-10,N,0.6,spal,0.7999999999999989,0.0,0.0,0.0,-4.0,-2.0,-1.4000000000000004,0.0,2019-2020,3.0,1.0
496,lazio,2019-11-10,V,1.2000000000000002,lecce,2.5999999999999996,1.2000000000000002,0.39999999999999997,0.6,12.600000000000001,0.5999999999999996,0.7999999999999998,0.0,2019-2020,6.0,0.0
497,parma,2019-11-10,V,-0.19999999999999996,roma,0.1999999999999993,0.0,-0.4,-0.6,-9.600000000000001,-3.200000000000001,-1.6,-0.6,2019-2020,0.0,6.0
498,sampdoria,2019-11-10,N,-2.4,atalanta,-5.800000000000001,-4.3999999999999995,-0.4,-0.4,-10.0,2.1999999999999993,0.5999999999999996,-0.2,2019-2020,4.0,2.0
499,milan,2019-11-23,N,-0.19999999999999996,napoli,-2.6000000000000014,-1.0,0.0,0.0,0.0,0.0,1.4,0.0,2019-2020,0.0,4.0
500,atalanta,2019-11-23,P,1.0,juventus,-3.799999999999997,-1.7999999999999998,0.0,0.0,-4.200000000000003,-2.0,0.3999999999999999,0.2,2019-2020,0.0,2.0
501,torino,2019-11-23,P,-1.4,inter,-10.0,-2.6,-0.19999999999999996,-0.19999999999999996,-6.199999999999996,1.3999999999999986,-0.40000000000000036,0.2,2019-2020,2.0,1.0
502,sampdoria,2019-11-24,V,-0.4,udinese,0.1999999999999993,0.19999999999999973,0.0,0.0,-2.6000000000000014,1.8000000000000007,-0.3999999999999999,-0.2,2019-2020,2.0,2.0
503,bologna,2019-11-24,N,-0.6000000000000001,parma,-4.800000000000001,-2.1999999999999997,0.2,0.2,7.800000000000004,3.8000000000000007,0.9999999999999998,0.0,2019-2020,5.0,0.0
504,roma,2019-11-24,V,1.0,brescia,2.6000000000000014,1.0,0.4,0.6,7.600000000000001,0.1999999999999993,0.0,0.19999999999999996,2019-2020,6.0,0.0
505,hellas verona,2019-11-24,V,-0.3999999999999999,fiorentina,-3.200000000000001,-2.4,0.2,0.2,-4.0,-1.8000000000000007,-0.3999999999999999,-0.2,2019-2020,1.0,5.0
506,sassuolo,2019-11-24,P,-1.0,lazio,-1.3999999999999986,-1.0,-0.8,-1.0,-1.1999999999999957,2.6000000000000014,0.0,0.0,2019-2020,0.0,4.0
507,lecce,2019-11-25,N,-1.0,cagliari,-1.4000000000000004,0.40000000000000036,0.2,0.6,-7.799999999999997,-1.5999999999999996,0.3999999999999999,0.2,2019-2020,0.0,6.0
508,spal,2019-11-25,N,-1.0,genoa,-1.799999999999999,-1.4000000000000004,0.0,0.2,-11.0,1.1999999999999993,1.2000000000000002,-0.4,2019-2020,1.0,2.0
509,fiorentina,2019-11-30,P,-0.40000000000000013,lecce,-0.7999999999999989,-1.0,-0.4,-0.6,7.600000000000001,2.200000000000001,0.20000000000000018,-0.2,2019-2020,6.0,0.0
510,brescia,2019-11-30,P,-1.4,atalanta,-6.0,-1.8000000000000003,-0.4,-0.6,-13.200000000000003,0.5999999999999996,0.3999999999999999,0.0,2019-2020,0.0,6.0
511,genoa,2019-11-30,P,0.19999999999999996,torino,1.4000000000000004,0.8000000000000003,-0.4,-0.4,7.0,0.1999999999999993,0.19999999999999973,0.2,2019-2020,1.0,4.0
512,napoli,2019-12-01,P,-0.6000000000000001,bologna,3.8000000000000007,1.1999999999999993,-0.2,-0.2,0.0,-2.8000000000000007,-0.3999999999999999,0.0,2019-2020,5.0,1.0
513,juventus,2019-12-01,N,0.0,sassuolo,6.199999999999999,2.8,0.4,0.4,5.399999999999999,0.8000000000000007,-0.3999999999999999,0.2,2019-2020,6.0,0.0
514,hellas verona,2019-12-01,P,-1.2000000000000002,roma,-5.199999999999999,-2.2,-0.2,-0.39999999999999997,-1.3999999999999986,0.8000000000000007,0.20000000000000018,-0.4,2019-2020,0.0,6.0
515,parma,2019-12-01,P,0.5999999999999999,milan,0.40000000000000036,0.5999999999999996,0.0,0.0,-11.800000000000004,-0.1999999999999993,-1.7999999999999998,0.0,2019-2020,0.0,5.0
516,lazio,2019-12-01,V,1.7999999999999998,udinese,2.8000000000000007,2.8,0.4,0.6,6.600000000000001,-3.1999999999999993,0.0,-0.4,2019-2020,6.0,0.0
517,inter,2019-12-01,V,1.8000000000000003,spal,8.8,3.4000000000000004,0.0,-0.2,11.200000000000003,0.0,-0.3999999999999999,0.0,2019-2020,5.0,0.0
518,cagliari,2019-12-02,V,1.6,sampdoria,-5.199999999999999,-0.40000000000000036,0.0,0.0,0.6000000000000014,-0.3999999999999986,-0.19999999999999973,0.4,2019-2020,1.0,2.0
519,inter,2019-12-06,N,-0.19999999999999973,roma,3.8000000000000007,1.5999999999999996,-0.39999999999999997,-0.6000000000000001,2.3999999999999986,2.400000000000002,0.19999999999999973,-0.4,2019-2020,1.0,2.0
520,atalanta,2019-12-07,V,0.0,hellas verona,6.800000000000001,2.2,-0.2,0.0,7.800000000000004,-0.8000000000000007,0.7999999999999998,0.4,2019-2020,6.0,0.0
521,lazio,2019-12-07,V,1.2,juventus,-4.199999999999999,-2.0,0.4,0.4,-3.200000000000003,-3.1999999999999993,0.0,-0.2,2019-2020,1.0,5.0
522,udinese,2019-12-07,N,-0.19999999999999996,napoli,-6.199999999999999,-3.6,0.0,0.0,-4.399999999999999,2.6000000000000014,0.6000000000000001,0.2,2019-2020,0.0,6.0
523,spal,2019-12-08,P,0.0,brescia,1.200000000000001,-0.7999999999999998,0.2,0.4,5.600000000000001,2.1999999999999993,0.6000000000000001,-0.4,2019-2020,4.0,0.0
524,torino,2019-12-08,V,0.0,fiorentina,-4.199999999999999,-2.0,0.4,0.4,-6.600000000000001,1.8000000000000007,0.3999999999999999,0.4,2019-2020,1.0,2.0
