,data,ora,competizione,girone,giorno,stadio,risultato,rf,rs,avversario,xg,xga,poss.,spettatori,capitano,formazione,arbitro,report partita,note,reti,tiri,tiri.1,% tip,g/tiri,g/tip,dist.,pun.,rigori,rig t,npxg,npxg/sh,g-xg,np:g-xg,team
35,06-05-2022,18:45,Serie A,Giornata n. 36,Ven,Casa,V,4,2,Empoli,4.3,0.6,64.0,69.959,Samir Handanovič,3-5-2,Gianluca Manganiello,Report partita,,3,37.0,10.0,270.0,8.0,30.0,128.0,0.0,0,0,4.3,12.0,-1.3,-1.3,Inter
36,15-05-2022,20:45,Serie A,Giornata n. 37,Dom,Ospiti,V,3,1,Cagliari,2.6,0.6,62.0,15.443,Samir Handanovič,3-5-2,Daniele Doveri,Report partita,,3,17.0,7.0,412.0,18.0,43.0,134.0,0.0,0,0,2.6,15.0,0.4,0.4,Inter
37,22-05-2022,18:00,Serie A,Giornata n. 38,Dom,Casa,V,3,0,Sampdoria,3.3,0.9,58.0,71.109,Samir Handanovič,3-5-2,Marco Di Bello,Report partita,,3,28.0,11.0,393.0,11.0,27.0,151.0,0.0,0,0,3.3,13.0,-0.3,-0.3,Inter
0,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Ospiti,N,2,2,Udinese,0.8,2.2,56.0,9.66,Paulo Dybala,4-4-2,Ivan Pezzuto,Report partita,,2,10.0,3.0,300.0,20.0,67.0,149.0,0.0,0,0,0.8,8.0,1.2,1.2,Juventus
1,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Casa,P,0,1,Empoli,1.5,0.8,54.0,17.584,Paulo Dybala,4-4-2◆,Davide Ghersini,Report partita,,0,19.0,5.0,263.0,0.0,0.0,165.0,1.0,0,0,1.5,8.0,-1.5,-1.5,Juventus
2,11-09-2021,18:00,Serie A,Giornata n. 3,Sab,Ospiti,P,1,2,Napoli,1.0,2.1,33.0,23.5,Giorgio Chiellini,4-3-3,Massimiliano Irrati,Report partita,,1,8.0,4.0,500.0,13.0,25.0,146.0,0.0,0,0,1.0,13.0,0.0,0.0,Juventus
3,19-09-2021,20:45,Serie A,Giornata n. 4,Dom,Casa,N,1,1,Milan,1.0,0.7,44.0,18.785,Giorgio Chiellini,4-4-2,Daniele Doveri,Report partita,,1,9.0,4.0,444.0,11.0,25.0,146.0,0.0,0,0,1.0,11.0,0.0,0.0,Juventus
4,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Ospiti,V,3,2,Spezia,2.3,0.7,59.0,5.7,Paulo Dybala,4-4-2,Gianluca Aureliano,Report partita,,3,26.0,9.0,346.0,12.0,33.0,172.0,2.0,0,0,2.3,9.0,0.7,0.7,Juventus
5,26-09-2021,12:30,Serie A,Giornata n. 6,Dom,Casa,V,3,2,Sampdoria,2.4,0.4,50.0,15.381,Paulo Dybala,4-4-2,Giovanni Ayroldi,Report partita,,3,15.0,5.0,333.0,13.0,40.0,184.0,0.0,1,1,1.6,11.0,0.6,0.4,Juventus
6,02-10-2021,18:00,Serie A,Giornata n. 7,Sab,Ospiti,V,1,0,Torino,0.9,1.0,52.0,12.073,Giorgio Chiellini,4-4-2,Paolo Valeri,Report partita,,1,10.0,3.0,300.0,10.0,33.0,173.0,0.0,0,0,0.9,9.0,0.1,0.1,Juventus
7,17-10-2021,20:45,Serie A,Giornata n. 8,Dom,Casa,V,1,0,Roma,0.8,1.4,47.0,20.239,Giorgio Chiellini,4-4-2,Daniele Orsato,Report partita,,1,7.0,3.0,429.0,14.0,33.0,131.0,0.0,0,0,0.8,13.0,0.2,0.2,Juventus
8,24-10-2021,20:45,Serie A,Giornata n. 9,Dom,Ospiti,N,1,1,Inter,1.8,0.8,51.0,56.532,Giorgio Chiellini,4-4-2,Maurizio Mariani,Report partita,,1,15.0,3.0,200.0,0.0,0.0,209.0,1.0,1,1,1.0,7.0,-0.8,-1.0,Juventus
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Casa,P,1,2,Sassuolo,1.3,1.2,57.0,18.288,Paulo Dybala,4-4-2,Juan Sacchi,Report partita,,1,14.0,2.0,143.0,7.0,50.0,146.0,0.0,0,0,1.3,9.0,-0.3,-0.3,Juventus
10,30-10-2021,18:00,Serie A,Giornata n. 11,Sab,Ospiti,P,1,2,Hellas Verona,0.9,1.6,55.0,22.314,Giorgio Chiellini,4-4-2,Livio Marinelli,Report partita,,1,15.0,4.0,267.0,7.0,25.0,185.0,0.0,0,0,0.9,6.0,0.1,0.1,Juventus
11,06-11-2021,18:00,Serie A,Giornata n. 12,Sab,Casa,V,1,0,Fiorentina,0.7,0.5,50.0,6.953,Paulo Dybala,4-4-2,Simone Sozza,Report partita,,1,13.0,3.0,231.0,8.0,33.0,152.0,0.0,0,0,0.7,6.0,0.3,0.3,Juventus
12,20-11-2021,18:00,Serie A,Giornata n. 13,Sab,Ospiti,V,2,0,Lazio,2.7,0.2,43.0,45.0,Leonardo Bonucci,3-5-2,Marco Di Bello,Report partita,,2,9.0,3.0,333.0,0.0,0.0,157.0,0.0,2,2,1.2,13.0,-0.7,-1.2,Juventus
13,27-11-2021,18:00,Serie A,Giornata n. 14,Sab,Casa,P,0,1,Atalanta,0.9,0.4,59.0,29.886,Paulo Dybala,4-4-2,Giovanni Ayroldi,Report partita,,0,15.0,2.0,133.0,0.0,0.0,183.0,1.0,0,0,0.9,6.0,-0.9,-0.9,Juventus
14,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Ospiti,V,2,0,Salernitana,2.2,0.3,73.0,19.5,Giorgio Chiellini,4-2-3-1,Francesco Fourneau,Report partita,,2,17.0,7.0,412.0,12.0,29.0,189.0,1.0,0,1,1.5,9.0,-0.2,0.5,Juventus
15,05-12-2021,20:45,Serie A,Giornata n. 16,Dom,Casa,V,2,0,Genoa,2.5,0.0,70.0,18.458,Giorgio Chiellini,4-2-3-1,Daniele Chiffi,Report partita,,2,27.0,12.0,444.0,7.0,17.0,177.0,0.0,0,0,2.5,10.0,-0.5,-0.5,Juventus
16,11-12-2021,18:00,Serie A,Giornata n. 17,Sab,Ospiti,N,1,1,Venezia,1.6,0.4,60.0,8.35,Paulo Dybala,4-2-3-1,Paolo Valeri,Report partita,,1,20.0,6.0,300.0,5.0,17.0,164.0,1.0,0,0,1.6,8.0,-0.6,-0.6,Juventus
17,18-12-2021,18:00,Serie A,Giornata n. 18,Sab,Ospiti,V,2,0,Bologna,1.1,0.4,43.0,22.394,Leonardo Bonucci,4-3-3,Daniele Orsato,Report partita,,2,11.0,7.0,636.0,18.0,29.0,177.0,0.0,0,0,1.1,10.0,0.9,0.9,Juventus
18,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Casa,V,2,0,Cagliari,1.0,1.3,63.0,11.197,Leonardo Bonucci,4-3-3,Federico Dionisi,Report partita,,2,15.0,4.0,267.0,13.0,50.0,133.0,0.0,0,0,1.0,7.0,1.0,1.0,Juventus
19,06-01-2022,20:45,Serie A,Giornata n. 20,Gio,Casa,N,1,1,Napoli,1.3,0.7,44.0,19.301,Juan Cuadrado,4-3-3,Simone Sozza,Report partita,,1,22.0,5.0,227.0,5.0,20.0,186.0,2.0,0,0,1.3,6.0,-0.3,-0.3,Juventus
20,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Ospiti,V,4,3,Roma,1.1,2.1,47.0,33.178,Paulo Dybala,4-4-1-1,Davide Massa,Report partita,,4,14.0,5.0,357.0,29.0,80.0,196.0,1.0,0,0,1.1,8.0,2.9,2.9,Juventus
21,15-01-2022,20:45,Serie A,Giornata n. 22,Sab,Casa,V,2,0,Udinese,1.5,0.8,66.0,5.0,Paulo Dybala,4-4-2,Antonio Giua,Report partita,,2,14.0,4.0,286.0,14.0,50.0,176.0,1.0,0,0,1.5,11.0,0.5,0.5,Juventus
22,23-01-2022,20:45,Serie A,Giornata n. 23,Dom,Ospiti,N,0,0,Milan,0.4,0.6,53.0,5.0,Giorgio Chiellini,4-4-2,Marco Di Bello,Report partita,,0,8.0,0.0,0.0,0.0,,159.0,0.0,0,0,0.4,5.0,-0.4,-0.4,Juventus
23,06-02-2022,20:45,Serie A,Giornata n. 24,Dom,Casa,V,2,0,Hellas Verona,1.2,0.6,46.0,17.016,Giorgio Chiellini,4-3-3,Luca Massimi,Report partita,,2,11.0,8.0,727.0,18.0,25.0,173.0,0.0,0,0,1.2,11.0,0.8,0.8,Juventus
24,13-02-2022,20:45,Serie A,Giornata n. 25,Dom,Ospiti,N,1,1,Atalanta,0.7,2.1,48.0,9.731,Paulo Dybala,4-3-3,Maurizio Mariani,Report partita,,1,15.0,6.0,400.0,7.0,17.0,169.0,0.0,0,0,0.7,5.0,0.3,0.3,Juventus
