,calciatore,data,giorno,competizione,girone,stadio,risultato,squadra,avversario,f inz,ruolo,min,reti,assist,rigori,rig t,tiri,tiri.1,amm.,esp.,tocchi,press,cntrs,int,blocchi,xg,npxg,xa,sca,gca,compl.,"tent,",% compl.,prog.,controlli palla,prog.,vinti,tent.,report partita
48,José Luis Palomino,21-05-2022,Sab,Serie A,Giornata n. 38,Casa,P 0–1,Atalanta,Empoli,Sì,CB,90,0,0,0,0,0,0,0,0,56,12,6,6,1,0.0,0.0,0.1,2,0,41,48,854,7,32,2,0,0,Report partita
0,Davide Zappacosta,28-08-2021,Sab,Serie A,Giornata n. 2,Casa,N 0–0,Atalanta,Bologna,No,WB,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,9,9,1000,1,6,4,0,0,Report partita
1,Davide Zappacosta,11-09-2021,Sab,Serie A,Giornata n. 3,Casa,P 1–2,Atalanta,Fiorentina,Sì,WB,90,0,0,0,0,2,0,0,0,72,17,1,1,3,0.2,0.2,0.1,4,0,48,61,787,7,47,9,1,2,Report partita
3,Davide Zappacosta,18-09-2021,Sab,Serie A,Giornata n. 4,Ospiti,V 1–0,Atalanta,Salernitana,No,AM,33,0,0,0,0,2,0,0,0,16,2,1,0,1,0.7,0.7,0.1,2,0,10,10,1000,1,8,0,0,0,Report partita
4,Davide Zappacosta,21-09-2021,Mar,Serie A,Giornata n. 5,Casa,V 2–1,Atalanta,Sassuolo,Sì,WB,68,1,0,0,0,1,1,0,0,59,14,1,2,3,0.1,0.1,0.5,7,1,43,52,827,8,44,7,0,1,Report partita
5,Davide Zappacosta,25-09-2021,Sab,Serie A,Giornata n. 6,Ospiti,N 2–2,Atalanta,Inter,Sì,"WB,RW",76,0,0,0,0,0,0,1,0,37,11,1,1,0,0.0,0.0,0.1,2,0,27,31,871,1,27,10,0,1,Report partita
7,Davide Zappacosta,03-10-2021,Dom,Serie A,Giornata n. 7,Casa,P 2–3,Atalanta,Milan,Sì,WB,90,0,0,0,0,3,1,0,0,70,13,3,0,4,0.1,0.1,0.0,4,1,44,54,815,6,43,3,0,2,Report partita
8,Davide Zappacosta,17-10-2021,Dom,Serie A,Giornata n. 8,Ospiti,V 4–1,Atalanta,Empoli,Sì,WB,89,0,0,0,0,2,0,0,0,70,15,1,0,6,0.0,0.0,0.1,5,0,50,58,862,3,48,7,0,0,Report partita
10,Davide Zappacosta,24-10-2021,Dom,Serie A,Giornata n. 9,Casa,N 1–1,Atalanta,Udinese,Sì,WB,90,0,0,0,0,0,0,0,0,67,11,0,2,1,0.0,0.0,0.0,1,0,51,60,850,1,52,2,1,3,Report partita
11,Davide Zappacosta,27-10-2021,Mer,Serie A,Giornata n. 10,Ospiti,V 3–1,Atalanta,Sampdoria,Sì,WB,77,0,1,0,0,0,0,0,0,62,10,1,0,2,0.0,0.0,0.2,4,1,43,57,754,1,46,3,0,0,Report partita
12,Davide Zappacosta,30-10-2021,Sab,Serie A,Giornata n. 11,Casa,N 2–2,Atalanta,Lazio,Sì,WB,82,0,0,0,0,2,0,0,0,58,19,0,1,1,0.0,0.0,0.0,1,0,35,46,761,0,43,5,0,0,Report partita
14,Davide Zappacosta,06-11-2021,Sab,Serie A,Giornata n. 12,Ospiti,V 2–1,Atalanta,Cagliari,Sì,WB,90,0,1,0,0,3,0,0,0,73,8,0,0,1,0.1,0.1,0.8,2,1,53,62,855,5,50,4,1,1,Report partita
16,Davide Zappacosta,20-11-2021,Sab,Serie A,Giornata n. 13,Casa,V 5–2,Atalanta,Spezia,Sì,WB,86,0,1,0,0,2,1,0,0,50,10,1,1,2,0.1,0.1,0.5,3,2,38,42,905,3,40,3,2,3,Report partita
18,Davide Zappacosta,27-11-2021,Sab,Serie A,Giornata n. 14,Ospiti,V 1–0,Atalanta,Juventus,Sì,WB,70,0,0,0,0,0,0,1,0,30,7,1,0,0,0.0,0.0,0.0,0,0,21,29,724,0,20,2,0,1,Report partita
