,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
11,Crotone,2020-12-15,Giornata n. 12,Ospiti,N,0,Udinese,4,2,0,0,45.0,19,4,0
10,Udinese,2020-12-15,Giornata n. 12,Casa,N,0,Crotone,15,6,0,0,55.0,14,1,0
11,Benevento,2020-12-15,Giornata n. 12,Casa,N,1,Lazio,13,6,0,0,37.0,15,2,1
11,Cagliari,2020-12-16,Giornata n. 12,Ospiti,N,0,Parma,8,4,0,0,42.0,11,1,0
11,Inter,2020-12-16,Giornata n. 12,Casa,V,1,Napoli,4,1,1,1,41.0,19,5,0
11,Sampdoria,2020-12-16,Giornata n. 12,Ospiti,V,2,Hellas Verona,10,3,0,0,45.0,18,4,0
11,Spezia,2020-12-16,Giornata n. 12,Casa,N,2,Bologna,10,4,0,0,45.0,22,6,0
10,Juventus,2020-12-16,Giornata n. 12,Casa,N,1,Atalanta,11,6,0,1,54.0,16,3,0
11,Hellas Verona,2020-12-16,Giornata n. 12,Casa,P,1,Sampdoria,7,2,1,1,55.0,19,2,1
11,Sassuolo,2020-12-16,Giornata n. 12,Ospiti,N,1,Fiorentina,13,5,0,0,65.0,12,4,0
11,Parma,2020-12-16,Giornata n. 12,Casa,N,0,Cagliari,13,2,0,0,58.0,13,1,0
11,Milan,2020-12-16,Giornata n. 12,Ospiti,N,2,Genoa,13,4,0,0,58.0,16,3,0
11,Genoa,2020-12-16,Giornata n. 12,Casa,N,2,Milan,10,4,0,0,42.0,23,2,0
11,Bologna,2020-12-16,Giornata n. 12,Ospiti,N,2,Spezia,9,5,0,1,55.0,12,1,0
11,Fiorentina,2020-12-16,Giornata n. 12,Casa,N,1,Sassuolo,15,4,1,1,35.0,19,4,0
10,Napoli,2020-12-16,Giornata n. 12,Ospiti,P,0,Inter,17,3,0,0,59.0,9,3,1
10,Atalanta,2020-12-16,Giornata n. 12,Ospiti,N,1,Juventus,15,6,0,0,46.0,18,2,0
11,Torino,2020-12-17,Giornata n. 12,Ospiti,P,1,Roma,16,5,0,0,38.0,17,3,1
11,Roma,2020-12-17,Giornata n. 12,Casa,V,3,Torino,12,4,1,1,62.0,23,4,0
12,Fiorentina,2020-12-19,Giornata n. 13,Casa,N,1,Hellas Verona,8,0,1,1,61.0,12,2,0
12,Sampdoria,2020-12-19,Giornata n. 13,Casa,V,3,Crotone,12,4,0,0,43.0,14,2,0
11,Juventus,2020-12-19,Giornata n. 13,Ospiti,V,4,Parma,19,7,0,0,62.0,12,1,0
12,Hellas Verona,2020-12-19,Giornata n. 13,Ospiti,N,1,Fiorentina,4,2,1,1,39.0,19,2,0
12,Parma,2020-12-19,Giornata n. 13,Casa,P,0,Juventus,11,4,0,0,38.0,9,0,0
12,Crotone,2020-12-19,Giornata n. 13,Ospiti,P,1,Sampdoria,5,1,1,1,57.0,14,2,0
11,Napoli,2020-12-20,Giornata n. 13,Ospiti,P,0,Lazio,14,6,0,0,60.0,11,3,0
12,Benevento,2020-12-20,Giornata n. 13,Casa,V,2,Genoa,11,2,1,1,44.0,9,1,0
12,Lazio,2020-12-20,Giornata n. 13,Casa,V,2,Napoli,10,2,0,0,40.0,16,4,0
12,Spezia,2020-12-20,Giornata n. 13,Ospiti,P,1,Inter,7,1,0,0,58.0,10,2,0
11,Udinese,2020-12-20,Giornata n. 13,Ospiti,N,1,Cagliari,14,4,0,0,47.0,15,1,0
12,Milan,2020-12-20,Giornata n. 13,Ospiti,V,2,Sassuolo,11,5,0,0,32.0,14,3,0
12,Torino,2020-12-20,Giornata n. 13,Casa,N,1,Bologna,15,4,0,0,52.0,16,1,0
12,Inter,2020-12-20,Giornata n. 13,Casa,V,2,Spezia,9,4,1,1,42.0,12,1,0
12,Sassuolo,2020-12-20,Giornata n. 13,Casa,P,1,Milan,15,5,0,0,68.0,15,1,0
