,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
171,Frosinone,2018-12-26,N,0.0,Milan,-12.0,0.0,0,0,-28.0,-3.0,1,0,2018-2019
172,Roma,2018-12-26,V,2.0,Sassuolo,9.0,6.0,1,1,2.0,-1.0,0,0,2018-2019
173,Sampdoria,2018-12-26,V,2.0,Chievo,2.0,2.0,0,0,6.0,7.0,1,0,2018-2019
174,Bologna,2018-12-26,P,-2.0,Lazio,-12.0,-4.0,0,0,-22.0,-2.0,2,0,2018-2019
175,Fiorentina,2018-12-26,P,-1.0,Parma,28.0,6.0,0,0,34.0,2.0,0,1,2018-2019
176,Atalanta,2018-12-26,N,0.0,Juventus,6.0,4.0,0,0,2.0,5.0,1,-1,2018-2019
177,SPAL,2018-12-26,N,0.0,Udinese,7.0,1.0,0,0,18.0,-2.0,-1,0,2018-2019
178,Cagliari,2018-12-26,V,1.0,Genoa,1.0,-1.0,0,0,-2.0,-2.0,0,0,2018-2019
179,Torino,2018-12-26,V,3.0,Empoli,9.0,7.0,0,0,26.0,0.0,-2,-1,2018-2019
180,Milan,2018-12-29,V,1.0,SPAL,8.0,0.0,0,0,28.0,1.0,1,1,2018-2019
181,Udinese,2018-12-29,V,2.0,Cagliari,20.0,4.0,0,1,-8.0,-3.0,1,0,2018-2019
182,Chievo,2018-12-29,V,1.0,Frosinone,0.0,-1.0,0,0,20.0,6.0,0,-1,2018-2019
183,Genoa,2018-12-29,N,0.0,Fiorentina,-3.0,0.0,0,0,-12.0,13.0,1,0,2018-2019
184,Lazio,2018-12-29,N,0.0,Torino,6.0,1.0,-1,-1,4.0,-2.0,0,0,2018-2019
185,Empoli,2018-12-29,P,-1.0,Inter,-1.0,-2.0,0,0,-26.0,11.0,0,0,2018-2019
186,Juventus,2018-12-29,V,1.0,Sampdoria,7.0,5.0,0,0,10.0,-2.0,0,0,2018-2019
187,Sassuolo,2018-12-29,P,-4.0,Atalanta,-3.0,-1.0,0,0,-14.0,0.0,-1,0,2018-2019
188,Napoli,2018-12-29,V,1.0,Bologna,7.0,4.0,0,0,26.0,5.0,0,0,2018-2019
189,Parma,2018-12-29,P,-2.0,Roma,-16.0,-3.0,0,0,-24.0,-4.0,0,0,2018-2019
190,Udinese,2019-01-19,P,-1.0,Parma,20.0,4.0,-1,-1,16.0,0.0,2,0,2018-2019
191,Roma,2019-01-19,V,1.0,Torino,6.0,6.0,1,1,8.0,-2.0,-1,0,2018-2019
192,Inter,2019-01-19,N,0.0,Sassuolo,-4.0,-1.0,0,0,16.0,1.0,-2,0,2018-2019
193,Frosinone,2019-01-20,P,-5.0,Atalanta,-10.0,-6.0,0,0,-38.0,3.0,2,0,2018-2019
194,Cagliari,2019-01-20,N,0.0,Empoli,1.0,-1.0,0,0,12.0,3.0,0,0,2018-2019
195,SPAL,2019-01-20,N,0.0,Bologna,1.0,-1.0,0,0,8.0,-6.0,-1,0,2018-2019
196,Napoli,2019-01-20,V,1.0,Lazio,2.0,1.0,0,0,12.0,-6.0,-3,-1,2018-2019
197,Fiorentina,2019-01-20,N,0.0,Sampdoria,6.0,-1.0,-1,-1,-14.0,-5.0,1,1,2018-2019
198,Juventus,2019-01-21,V,3.0,Chievo,13.0,7.0,0,1,22.0,3.0,-1,0,2018-2019
199,Genoa,2019-01-21,P,-2.0,Milan,4.0,0.0,0,0,-22.0,-4.0,0,0,2018-2019
200,Sassuolo,2019-01-26,V,3.0,Cagliari,3.0,5.0,1,1,-10.0,-6.0,0,0,2018-2019
201,Milan,2019-01-26,N,0.0,Napoli,0.0,-2.0,0,0,-8.0,-4.0,-1,-1,2018-2019
202,Sampdoria,2019-01-26,V,4.0,Udinese,10.0,6.0,2,2,16.0,1.0,-2,0,2018-2019
203,Atalanta,2019-01-27,N,0.0,Roma,13.0,0.0,0,1,28.0,-9.0,-3,0,2018-2019
204,Parma,2019-01-27,P,-1.0,SPAL,-16.0,-3.0,1,1,-28.0,-1.0,-2,0,2018-2019
205,Bologna,2019-01-27,P,-4.0,Frosinone,10.0,-2.0,0,0,2.0,0.0,-1,1,2018-2019
206,Torino,2019-01-27,V,1.0,Inter,4.0,0.0,0,0,-28.0,3.0,0,-1,2018-2019
207,Chievo,2019-01-27,P,-1.0,Fiorentina,4.0,1.0,1,2,4.0,0.0,2,-1,2018-2019
208,Lazio,2019-01-27,P,-1.0,Juventus,12.0,2.0,-1,-1,-8.0,0.0,-3,0,2018-2019
209,Empoli,2019-01-28,P,-2.0,Genoa,1.0,-3.0,0,0,16.0,-3.0,-1,0,2018-2019
210,Empoli,2019-02-02,N,0.0,Chievo,-1.0,4.0,0,0,10.0,-5.0,-2,0,2018-2019
211,Napoli,2019-02-02,V,3.0,Sampdoria,3.0,6.0,1,1,14.0,-10.0,-3,0,2018-2019
212,Juventus,2019-02-02,N,0.0,Parma,17.0,2.0,0,0,36.0,-5.0,-1,0,2018-2019
213,Genoa,2019-02-03,N,0.0,Sassuolo,-4.0,-3.0,0,0,-28.0,-2.0,-2,0,2018-2019
214,Inter,2019-02-03,P,-1.0,Bologna,8.0,-1.0,0,0,24.0,-5.0,-1,0,2018-2019
215,Roma,2019-02-03,N,0.0,Milan,8.0,2.0,0,0,-10.0,7.0,-1,0,2018-2019
216,SPAL,2019-02-03,N,0.0,Torino,1.0,0.0,0,0,18.0,-2.0,1,-1,2018-2019
217,Udinese,2019-02-03,N,0.0,Fiorentina,-5.0,-3.0,0,0,-20.0,-5.0,0,0,2018-2019
218,Frosinone,2019-02-04,P,-1.0,Lazio,0.0,-1.0,0,0,-4.0,-4.0,-4,0,2018-2019
219,Cagliari,2019-02-04,P,-1.0,Atalanta,-1.0,-4.0,0,0,-22.0,7.0,-2,0,2018-2019
220,Lazio,2019-02-07,V,1.0,Empoli,2.0,2.0,1,1,-2.0,6.0,0,0,2018-2019
221,Chievo,2019-02-08,P,-3.0,Roma,1.0,-2.0,0,0,-2.0,-1.0,-1,0,2018-2019
222,Parma,2019-02-09,P,-1.0,Inter,-10.0,-4.0,0,0,-28.0,7.0,0,0,2018-2019
223,Fiorentina,2019-02-09,N,0.0,Napoli,4.0,0.0,0,0,-18.0,-8.0,-2,0,2018-2019
224,Atalanta,2019-02-10,V,1.0,SPAL,7.0,2.0,0,0,24.0,2.0,-2,0,2018-2019
225,Bologna,2019-02-10,N,0.0,Genoa,0.0,-2.0,0,0,26.0,2.0,0,0,2018-2019
226,Milan,2019-02-10,V,3.0,Cagliari,8.0,8.0,0,0,4.0,6.0,-1,0,2018-2019
227,Sassuolo,2019-02-10,P,-3.0,Juventus,-3.0,-3.0,0,0,0.0,8.0,1,0,2018-2019
228,Sampdoria,2019-02-10,P,-1.0,Frosinone,11.0,6.0,0,0,44.0,-15.0,0,0,2018-2019
229,Torino,2019-02-10,V,1.0,Udinese,5.0,5.0,0,-1,18.0,-2.0,-1,-1,2018-2019
230,Juventus,2019-02-15,V,3.0,Frosinone,5.0,8.0,0,0,20.0,-5.0,-1,0,2018-2019
231,Atalanta,2019-02-16,P,-2.0,Milan,7.0,2.0,0,0,18.0,2.0,-1,0,2018-2019
232,Cagliari,2019-02-16,V,1.0,Parma,8.0,0.0,0,0,18.0,7.0,3,1,2018-2019
233,SPAL,2019-02-17,P,-3.0,Fiorentina,-13.0,-2.0,-1,-1,4.0,-1.0,-1,0,2018-2019
234,Napoli,2019-02-17,N,0.0,Torino,15.0,8.0,0,0,28.0,4.0,2,0,2018-2019
