,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,prediction
128,SPAL,2019-11-25,N,-1.0,Genoa,-1.799999999999999,-1.4000000000000004,0.0,0.2,-11.0,1.1999999999999993,1.2000000000000002,-0.4,19_20,1.0,5.0,V
129,Fiorentina,2019-11-30,P,-0.40000000000000013,Lecce,-0.7999999999999989,-1.0,-0.4,-0.6,7.600000000000001,2.200000000000001,0.20000000000000018,-0.2,19_20,9.0,1.0,V
130,Brescia,2019-11-30,P,-1.4,Atalanta,-6.0,-1.8000000000000003,-0.4,-0.6,-13.200000000000003,0.5999999999999996,0.3999999999999999,0.0,19_20,0.0,10.0,P
131,Genoa,2019-11-30,P,0.19999999999999996,Torino,1.4000000000000004,0.8000000000000003,-0.4,-0.4,7.0,0.1999999999999993,0.19999999999999973,0.2,19_20,1.0,7.0,N
132,Napoli,2019-12-01,P,-0.6000000000000001,Bologna,3.8000000000000007,1.1999999999999993,-0.2,-0.2,0.0,-2.8000000000000007,-0.3999999999999999,0.0,19_20,7.0,2.0,V
133,Hellas Verona,2019-12-01,P,-1.2000000000000002,Roma,-5.199999999999999,-2.2,-0.2,-0.39999999999999997,-1.3999999999999986,0.8000000000000007,0.20000000000000018,-0.4,19_20,2.0,7.0,P
134,Juventus,2019-12-01,N,0.0,Sassuolo,6.199999999999999,2.8,0.4,0.4,5.399999999999999,0.8000000000000007,-0.3999999999999999,0.2,19_20,7.0,1.0,V
135,Parma,2019-12-01,P,0.5999999999999999,Milan,0.40000000000000036,0.5999999999999996,0.0,0.0,-11.800000000000004,-0.1999999999999993,-1.7999999999999998,0.0,19_20,0.0,8.0,P
136,Lazio,2019-12-01,V,1.7999999999999998,Udinese,2.8000000000000007,2.8,0.4,0.6,6.600000000000001,-3.1999999999999993,0.0,-0.4,19_20,6.0,1.0,V
137,Inter,2019-12-01,V,1.8000000000000003,SPAL,8.8,3.4000000000000004,0.0,-0.2,11.200000000000003,0.0,-0.3999999999999999,0.0,19_20,9.0,0.0,V
138,Cagliari,2019-12-02,V,1.6,Sampdoria,-5.199999999999999,-0.40000000000000036,0.0,0.0,0.6000000000000014,-0.3999999999999986,-0.19999999999999973,0.4,19_20,4.0,3.0,V
139,Inter,2019-12-06,N,-0.19999999999999973,Roma,3.8000000000000007,1.5999999999999996,-0.39999999999999997,-0.6000000000000001,2.3999999999999986,2.400000000000002,0.19999999999999973,-0.4,19_20,4.0,0.0,V
140,Atalanta,2019-12-07,V,0.0,Hellas Verona,6.800000000000001,2.2,-0.2,0.0,7.800000000000004,-0.8000000000000007,0.7999999999999998,0.4,19_20,7.0,2.0,V
141,Lazio,2019-12-07,V,1.2,Juventus,-4.199999999999999,-2.0,0.4,0.4,-3.200000000000003,-3.1999999999999993,0.0,-0.2,19_20,2.0,6.0,N
142,Udinese,2019-12-07,N,-0.19999999999999996,Napoli,-6.199999999999999,-3.6,0.0,0.0,-4.399999999999999,2.6000000000000014,0.6000000000000001,0.2,19_20,0.0,9.0,P
143,Sampdoria,2019-12-08,P,0.3999999999999999,Parma,4.0,0.7999999999999998,0.4,0.4,4.600000000000001,-1.4000000000000004,0.0,0.0,19_20,8.0,1.0,V
144,SPAL,2019-12-08,P,0.0,Brescia,1.200000000000001,-0.7999999999999998,0.2,0.4,5.600000000000001,2.1999999999999993,0.6000000000000001,-0.4,19_20,4.0,2.0,V
145,Sassuolo,2019-12-08,N,-1.4000000000000001,Cagliari,-0.7999999999999989,-1.2000000000000002,-0.2,-0.2,3.3999999999999986,-0.1999999999999993,0.5999999999999996,-0.4,19_20,2.0,1.0,V
