,Data,Casa,Punteggio,Ospiti
392,2017-05-14,torino,0–5,napoli
393,2017-05-14,cagliari,3–2,empoli
394,2017-05-14,crotone,1–0,udinese
395,2017-05-14,bologna,3–1,pescara
396,2017-05-14,sampdoria,1–1,chievo
397,2017-05-14,roma,3–1,juventus
399,2017-05-20,chievo,3–5,roma
400,2017-05-20,napoli,4–1,fiorentina
401,2017-05-21,sassuolo,6–2,cagliari
402,2017-05-21,udinese,1–1,sampdoria
403,2017-05-21,genoa,2–1,torino
404,2017-05-21,juventus,3–0,crotone
405,2017-05-21,milan,3–0,bologna
406,2017-05-21,empoli,0–1,atalanta
407,2017-05-21,lazio,1–3,inter
408,2017-05-22,pescara,2–0,palermo
410,2017-05-27,bologna,1–2,juventus
411,2017-05-27,atalanta,1–0,chievo
412,2017-05-28,cagliari,2–1,milan
413,2017-05-28,sampdoria,2–4,napoli
414,2017-05-28,roma,3–2,genoa
415,2017-05-28,fiorentina,2–2,pescara
416,2017-05-28,torino,5–3,sassuolo
417,2017-05-28,crotone,3–1,lazio
418,2017-05-28,inter,5–2,udinese
419,2017-05-28,palermo,2–1,empoli
