,h_team,h_goals,a_team,a_goals,date,matchday
0,Salernitana,0,Torino,1,2022-04-02,Giornata n. 31
0,Sampdoria,0,Roma,1,2022-04-03,Giornata n. 31
0,Udinese,5,Cagliari,1,2022-04-03,Giornata n. 31
0,Atalanta,1,Napoli,3,2022-04-03,Giornata n. 31
0,Juventus,0,Inter,1,2022-04-03,Giornata n. 31
0,Fiorentina,1,Empoli,0,2022-04-03,Giornata n. 31
0,Milan,0,Bologna,0,2022-04-04,Giornata n. 31
0,Hellas Verona,1,Genoa,0,2022-04-04,Giornata n. 31
0,Cagliari,1,Juventus,2,2022-04-09,Giornata n. 32
0,Inter,2,Hellas Verona,0,2022-04-09,Giornata n. 32
0,Empoli,0,Spezia,0,2022-04-09,Giornata n. 32
0,Torino,0,Milan,0,2022-04-10,Giornata n. 32
0,Roma,2,Salernitana,1,2022-04-10,Giornata n. 32
0,Sassuolo,2,Atalanta,1,2022-04-10,Giornata n. 32
0,Napoli,2,Fiorentina,3,2022-04-10,Giornata n. 32
0,Venezia,1,Udinese,2,2022-04-10,Giornata n. 32
0,Genoa,1,Lazio,4,2022-04-10,Giornata n. 32
0,Bologna,2,Sampdoria,0,2022-04-11,Giornata n. 32
0,Milan,2,Genoa,0,2022-04-15,Giornata n. 33
0,Spezia,1,Inter,3,2022-04-15,Giornata n. 33
0,Lazio,1,Torino,1,2022-04-16,Giornata n. 33
0,Juventus,1,Bologna,1,2022-04-16,Giornata n. 33
0,Cagliari,1,Sassuolo,0,2022-04-16,Giornata n. 33
0,Sampdoria,1,Salernitana,2,2022-04-16,Giornata n. 33
0,Udinese,4,Empoli,1,2022-04-16,Giornata n. 33
0,Fiorentina,1,Venezia,0,2022-04-16,Giornata n. 33
0,Napoli,1,Roma,1,2022-04-18,Giornata n. 33
0,Atalanta,1,Hellas Verona,2,2022-04-18,Giornata n. 33
0,Udinese,0,Salernitana,1,2022-04-20,Giornata n. 19
0,Hellas Verona,1,Sampdoria,1,2022-04-23,Giornata n. 34
0,Inter,3,Roma,1,2022-04-23,Giornata n. 34
0,Torino,2,Spezia,1,2022-04-23,Giornata n. 34
0,Venezia,1,Atalanta,3,2022-04-23,Giornata n. 34
0,Genoa,1,Cagliari,0,2022-04-24,Giornata n. 34
0,Bologna,2,Udinese,2,2022-04-24,Giornata n. 34
0,Salernitana,2,Fiorentina,1,2022-04-24,Giornata n. 34
0,Empoli,3,Napoli,2,2022-04-24,Giornata n. 34
0,Lazio,1,Milan,2,2022-04-24,Giornata n. 34
0,Sassuolo,1,Juventus,2,2022-04-25,Giornata n. 34
0,Atalanta,4,Torino,4,2022-04-27,Giornata n. 20
0,Bologna,2,Inter,1,2022-04-27,Giornata n. 20
0,Fiorentina,0,Udinese,4,2022-04-27,Giornata n. 20
0,Cagliari,1,Hellas Verona,2,2022-04-30,Giornata n. 35
0,Spezia,3,Lazio,4,2022-04-30,Giornata n. 35
0,Sampdoria,1,Genoa,0,2022-04-30,Giornata n. 35
0,Napoli,6,Sassuolo,1,2022-04-30,Giornata n. 35
0,Juventus,2,Venezia,1,2022-05-01,Giornata n. 35
0,Roma,0,Bologna,0,2022-05-01,Giornata n. 35
0,Milan,1,Fiorentina,0,2022-05-01,Giornata n. 35
0,Empoli,1,Torino,3,2022-05-01,Giornata n. 35
0,Udinese,1,Inter,2,2022-05-01,Giornata n. 35
0,Atalanta,1,Salernitana,1,2022-05-02,Giornata n. 35
0,Salernitana,2,Venezia,1,2022-05-05,Giornata n. 20
0,Inter,4,Empoli,2,2022-05-06,Giornata n. 36
0,Genoa,2,Juventus,1,2022-05-06,Giornata n. 36
0,Lazio,2,Sampdoria,0,2022-05-07,Giornata n. 36
0,Torino,0,Napoli,1,2022-05-07,Giornata n. 36
0,Sassuolo,1,Udinese,1,2022-05-07,Giornata n. 36
0,Hellas Verona,1,Milan,3,2022-05-08,Giornata n. 36
0,Salernitana,1,Cagliari,1,2022-05-08,Giornata n. 36
0,Venezia,4,Bologna,3,2022-05-08,Giornata n. 36
0,Spezia,1,Atalanta,3,2022-05-08,Giornata n. 36
