,id,h_team,h_goals,a_team,a_goals,result,date,matchday,h_total_shots,h_shots_on_target,a_total_shots,a_shots_on_target,h_goals_on_penalty,h_total_penalties,a_goals_on_penalty,a_total_penalties,h_completed_passings,h_total_passings,a_completed_passings,a_total_passings,h_corners,a_corners,h_fouls,h_yellow_cards,h_red_cards,a_yellow_cards,a_red_cards,a_fouls,h_percentage_possession,a_percentage_possession
0,68,Atalanta,2,Milan,3,P,2021-10-03,Giornata n. 7,16.0,4.0,13.0,7.0,1,1,0,0,406.0,499.0,311.0,397.0,9.0,5.0,13.0,1,0,4,0,16.0,56.0,44.0
0,69,Sampdoria,3,Udinese,3,N,2021-10-03,Giornata n. 7,11.0,2.0,18.0,7.0,1,1,0,0,365.0,450.0,294.0,382.0,6.0,8.0,14.0,4,0,5,0,19.0,54.0,46.0
0,70,Spezia,2,Salernitana,1,V,2021-10-16,Giornata n. 8,18.0,5.0,15.0,4.0,0,0,0,0,384.0,505.0,244.0,352.0,10.0,2.0,16.0,2,0,3,0,17.0,59.0,41.0
0,71,Lazio,3,Inter,1,V,2021-10-16,Giornata n. 8,18.0,7.0,11.0,3.0,1,1,1,1,533.0,595.0,470.0,554.0,7.0,3.0,13.0,3,1,6,0,12.0,52.0,48.0
0,72,Milan,3,Hellas Verona,2,V,2021-10-16,Giornata n. 8,16.0,3.0,9.0,4.0,1,1,1,1,338.0,451.0,285.0,395.0,5.0,4.0,11.0,1,0,4,0,21.0,53.0,47.0
0,73,Napoli,1,Torino,0,V,2021-10-17,Giornata n. 8,10.0,2.0,11.0,3.0,0,1,0,0,333.0,440.0,306.0,418.0,3.0,4.0,6.0,2,0,4,0,25.0,51.0,49.0
0,74,Juventus,1,Roma,0,V,2021-10-17,Giornata n. 8,7.0,3.0,14.0,3.0,0,0,0,1,426.0,505.0,470.0,561.0,0.0,6.0,20.0,3,0,5,0,15.0,47.0,53.0
0,75,Genoa,2,Sassuolo,2,N,2021-10-17,Giornata n. 8,19.0,4.0,15.0,5.0,0,0,0,0,283.0,383.0,439.0,517.0,6.0,1.0,12.0,3,0,4,0,22.0,43.0,57.0
0,76,Empoli,1,Atalanta,4,P,2021-10-17,Giornata n. 8,13.0,4.0,21.0,7.0,0,0,0,1,355.0,459.0,401.0,490.0,5.0,4.0,11.0,3,0,2,0,17.0,48.0,52.0
0,77,Cagliari,3,Sampdoria,1,V,2021-10-17,Giornata n. 8,12.0,5.0,17.0,3.0,0,0,0,0,228.0,329.0,391.0,507.0,5.0,9.0,15.0,4,0,2,0,18.0,39.0,61.0
0,78,Udinese,1,Bologna,1,N,2021-10-17,Giornata n. 8,10.0,2.0,24.0,11.0,0,0,0,0,295.0,370.0,460.0,526.0,2.0,8.0,16.0,3,1,7,0,11.0,41.0,59.0
0,79,Venezia,1,Fiorentina,0,V,2021-10-18,Giornata n. 8,4.0,2.0,11.0,3.0,0,0,0,0,294.0,396.0,535.0,627.0,2.0,5.0,16.0,2,0,5,1,11.0,39.0,61.0
0,80,Sampdoria,2,Spezia,1,V,2021-10-22,Giornata n. 9,6.0,2.0,17.0,7.0,0,0,0,0,195.0,302.0,571.0,700.0,0.0,8.0,10.0,3,0,1,0,9.0,30.0,70.0
0,81,Torino,3,Genoa,2,V,2021-10-22,Giornata n. 9,17.0,6.0,14.0,4.0,0,0,0,0,377.0,491.0,236.0,354.0,2.0,4.0,19.0,2,0,3,0,24.0,58.0,42.0
0,82,Salernitana,2,Empoli,4,P,2021-10-23,Giornata n. 9,12.0,5.0,9.0,4.0,0,0,1,1,426.0,537.0,268.0,371.0,7.0,2.0,16.0,1,0,3,0,17.0,59.0,41.0
0,83,Sassuolo,3,Venezia,1,V,2021-10-23,Giornata n. 9,14.0,7.0,7.0,1.0,0,0,0,0,584.0,654.0,304.0,388.0,5.0,4.0,14.0,1,0,2,0,17.0,63.0,37.0
0,84,Bologna,2,Milan,4,P,2021-10-23,Giornata n. 9,9.0,4.0,15.0,7.0,0,0,0,0,305.0,382.0,561.0,636.0,4.0,1.0,9.0,1,2,3,0,17.0,38.0,62.0
0,85,Hellas Verona,4,Lazio,1,V,2021-10-24,Giornata n. 9,16.0,7.0,9.0,4.0,0,0,0,0,416.0,525.0,428.0,543.0,3.0,4.0,15.0,2,0,2,0,17.0,49.0,51.0
0,86,Roma,0,Napoli,0,N,2021-10-24,Giornata n. 9,13.0,1.0,11.0,2.0,0,0,0,0,277.0,352.0,485.0,568.0,7.0,4.0,14.0,4,0,1,0,10.0,38.0,62.0
