,matchday,date,h_team,a_team,result,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
103,Giornata n. 11,2021-10-31,Fiorentina,Spezia,V,0.10000000000000009,-1.5,-0.19999999999999973,0.4,0.4,102.40000000000003,88.0,-0.39999999999999947,6.5,1.5,1.3,0.09999999999999998
104,Giornata n. 11,2021-10-31,Genoa,Venezia,N,0.7,2.5999999999999996,0.6000000000000001,0.30000000000000004,0.30000000000000004,-12.0,-4.0,0.7999999999999998,1.1000000000000014,-0.3999999999999986,-0.3999999999999999,-0.1
105,Giornata n. 11,2021-10-31,Salernitana,Napoli,P,-1.2000000000000002,-3.0,-1.9,-0.30000000000000004,-0.6,-244.29999999999995,-214.2,0.09999999999999964,-15.699999999999996,4.400000000000002,0.8,0.0
106,Giornata n. 11,2021-10-31,Inter,Udinese,V,1.4000000000000001,2.8999999999999986,1.2999999999999998,0.1,0.19999999999999998,96.60000000000002,98.30000000000001,0.7999999999999998,10.0,0.40000000000000036,0.5,-0.1
107,Giornata n. 11,2021-10-31,Roma,Milan,P,-0.4999999999999998,2.400000000000002,0.09999999999999964,-0.1,-0.09999999999999998,0.5,-4.600000000000023,2.8000000000000007,-1.5,0.1999999999999993,1.5000000000000002,0.2
108,Giornata n. 11,2021-10-31,Sassuolo,Empoli,P,0.0,-0.5999999999999996,1.1999999999999997,-0.19999999999999998,-0.19999999999999998,115.39999999999998,106.09999999999997,-0.39999999999999947,9.600000000000001,0.0,0.19999999999999973,-0.1
109,Giornata n. 11,2021-11-01,Bologna,Cagliari,V,0.30000000000000004,3.700000000000001,1.4000000000000004,-0.1,0.0,73.80000000000001,66.70000000000005,1.6000000000000005,8.200000000000003,-2.5999999999999996,0.5,0.30000000000000004
110,Giornata n. 12,2021-11-05,Empoli,Genoa,N,0.09090909090909105,1.8181818181818166,0.6363636363636362,0.0,0.0,1.818181818181813,-4.818181818181813,0.7272727272727266,-0.2727272727272734,-1.8181818181818166,-0.6363636363636367,0.0909090909090909
111,Giornata n. 12,2021-11-06,Cagliari,Atalanta,P,-0.7272727272727271,-5.0909090909090935,-1.181818181818182,0.0,-0.09090909090909091,-124.63636363636363,-132.45454545454544,-2.1818181818181825,-13.272727272727266,-0.5454545454545485,0.0,0.1818181818181818
112,Giornata n. 12,2021-11-06,Juventus,Fiorentina,V,-0.09090909090909105,0.9090909090909136,-0.2727272727272725,-0.2727272727272727,-0.2727272727272727,-60.90909090909088,-57.27272727272725,-0.7272727272727275,-5.545454545454547,2.1818181818181817,-1.0909090909090908,-0.2727272727272727
113,Giornata n. 12,2021-11-06,Spezia,Torino,V,-0.2727272727272727,-2.09090909090909,-0.27272727272727204,0.0,0.0,2.636363636363626,-4.272727272727252,1.1818181818181817,-2.4545454545454533,-6.999999999999998,-1.0909090909090913,0.0909090909090909
114,Giornata n. 12,2021-11-07,Udinese,Sassuolo,V,-0.2727272727272727,-1.5454545454545432,-0.6363636363636367,0.0,0.0,-127.18181818181819,-127.36363636363637,-0.18181818181818166,-14.454545454545453,0.09090909090909172,-0.4545454545454546,0.0909090909090909
115,Giornata n. 12,2021-11-07,Milan,Inter,N,-0.2727272727272725,-1.1818181818181817,-1.6363636363636367,0.09090909090909091,0.09090909090909088,-17.454545454545382,-15.181818181818073,-1.6363636363636367,1.0,-0.545454545454545,-0.18181818181818254,0.0909090909090909
116,Giornata n. 12,2021-11-07,Sampdoria,Bologna,P,-0.2727272727272727,-1.8181818181818183,-1.0,0.0,-0.0909090909090909,-82.81818181818181,-63.45454545454544,-0.2727272727272725,-5.181818181818187,2.3636363636363615,-0.09090909090909083,-0.2727272727272727
117,Giornata n. 12,2021-11-07,Venezia,Roma,V,-1.0,-9.181818181818182,-1.9090909090909087,0.0,-0.0909090909090909,-97.27272727272725,-89.90909090909093,-3.5454545454545467,-10.090909090909093,1.2727272727272734,0.09090909090909127,-0.0909090909090909
118,Giornata n. 12,2021-11-07,Lazio,Salernitana,V,1.0909090909090908,-0.36363636363636154,1.6363636363636362,0.18181818181818182,0.2727272727272727,219.72727272727275,202.45454545454544,-1.0,11.81818181818182,-1.7272727272727249,0.18181818181818166,0.0
119,Giornata n. 12,2021-11-07,Napoli,Hellas Verona,N,-0.09090909090909083,5.636363636363635,1.3636363636363642,0.0,0.27272727272727276,166.27272727272725,144.45454545454544,1.0909090909090913,9.545454545454547,-5.363636363636365,-0.9090909090909085,0.0909090909090909
120,Giornata n. 13,2021-11-20,Fiorentina,Milan,V,-0.8333333333333333,-2.166666666666666,0.08333333333333304,0.16666666666666669,0.08333333333333337,42.583333333333314,39.916666666666686,1.1666666666666665,1.9166666666666643,-0.08333333333333393,1.0833333333333335,0.25
121,Giornata n. 13,2021-11-20,Atalanta,Spezia,V,0.75,3.666666666666668,0.75,0.1666666666666666,0.25,93.91666666666663,97.99999999999994,1.0,7.416666666666657,0.4166666666666661,0.4999999999999998,-0.1666666666666666
122,Giornata n. 13,2021-11-20,Lazio,Juventus,P,0.7499999999999998,-1.75,0.916666666666667,0.0833333333333334,0.1666666666666667,105.91666666666663,106.16666666666663,-0.41666666666666696,4.333333333333343,-3.166666666666666,0.33333333333333304,0.1666666666666666
123,Giornata n. 13,2021-11-21,Sassuolo,Cagliari,N,0.3333333333333335,3.916666666666666,2.416666666666667,-0.0833333333333333,-0.0833333333333333,135.91666666666669,127.91666666666663,1.333333333333333,14.083333333333336,0.25,0.16666666666666652,-0.1666666666666666
